geo_id,type,coordinates,highway
189,Point,"[116.35337646902258, 39.91829618253364]",10
190,Point,"[116.35335604903709, 39.918483054145746]",10
191,Point,"[116.3561081935634, 39.929095812186624]",13
192,Point,"[116.35622707044851, 39.93012025918255]",13
193,Point,"[116.35599106726218, 39.931609411158625]",12
194,Point,"[116.35592803232558, 39.93316396456296]",12
195,Point,"[116.35581334807182, 39.93597297832622]",12
196,Point,"[116.35580357029434, 39.93631027484183]",12
197,Point,"[116.35581063614624, 39.936714403233914]",12
198,Point,"[116.35555983210163, 39.94162116270083]",12
199,Point,"[116.35550747430062, 39.942031187872594]",12
200,Point,"[116.35551733967004, 39.942384719020986]",12
201,Point,"[116.35557267852819, 39.942566422441054]",12
202,Point,"[116.35564936419281, 39.94276556358741]",12
203,Point,"[116.35597249670853, 39.94322084208427]",12
204,Point,"[116.35609899349556, 39.94348287138138]",12
205,Point,"[116.35618028758057, 39.94367911969697]",12
206,Point,"[116.35624618270623, 39.944137851664614]",12
207,Point,"[116.35628966332597, 39.94485095488695]",12
208,Point,"[116.35560318202417, 39.94208915658475]",12
209,Point,"[116.35567727480061, 39.94238779713015]",12
210,Point,"[116.35579846639644, 39.94269051946699]",12
211,Point,"[116.35604311394405, 39.942983754974485]",12
212,Point,"[116.35631643006683, 39.94335754214626]",12
213,Point,"[116.35661688809354, 39.943629970754316]",12
214,Point,"[116.35684107246814, 39.943790662475436]",12
215,Point,"[116.35727970388817, 39.94400052223679]",12
216,Point,"[116.3579930938315, 39.944214845587354]",12
217,Point,"[116.35852259139637, 39.94436564727555]",12
218,Point,"[116.35633408551627, 39.94903929640614]",13
219,Point,"[116.35641564057143, 39.94971606367819]",13
220,Point,"[116.35627390786898, 39.94941440725464]",12
221,Point,"[116.35621454188174, 39.9498689225577]",12
222,Point,"[116.35612580160398, 39.95022028295574]",12
223,Point,"[116.35587186915104, 39.95098737338167]",12
224,Point,"[116.35555082197841, 39.95196865444762]",12
225,Point,"[116.35547280054571, 39.95230083174931]",12
226,Point,"[116.35538736691004, 39.952660397114236]",12
227,Point,"[116.3553201924349, 39.9531858006803]",12
228,Point,"[116.3552590248922, 39.95445744388121]",12
229,Point,"[116.35520816834523, 39.955645301711904]",9
230,Point,"[116.3553305956669, 39.956200436909135]",9
231,Point,"[116.35520271915641, 39.95613741147921]",12
232,Point,"[116.35504887279636, 39.959908490581036]",12
233,Point,"[116.3549997409003, 39.96126395783295]",12
234,Point,"[116.35484394806592, 39.963914389261525]",12
235,Point,"[116.41654383557997, 39.99511817963073]",4
236,Point,"[116.41695901742786, 39.99512213317649]",4
237,Point,"[116.41545487119883, 39.99206079955086]",10
238,Point,"[116.41521041125081, 39.991521647888874]",10
